userId,movieId,rating
0,237,4.0
1,82625,5.0
1,191251,5.0
1,1263,4.0
1,1562,4.0
1,140139,4.0
1,13979,2.0
2,15115,5.0
2,65598,5.0
2,230878,4.0
2,2561,4.0
2,1560,3.0
2,630,4.0
2,5235,4.0
2,5299,4.0
2,6869,3.0
2,28981,2.0
2,20035,4.0
2,8487,3.0
2,103261,4.0
2,11300,1.0
2,65,5.0
2,5348,3.0
2,19971,2.0
2,1139,4.0
2,196555,4.0
2,24,3.0
2,20034,4.0
2,6902,3.0
2,68635,3.0
2,25833,2.0
2,1049,4.0
2,401,1.0
2,46559,2.0
2,156182,1.0
2,48646,2.0
2,1333,4.0
2,27716,3.0
2,6380,3.0
2,20005,3.0
2,4169,5.0
2,5883,4.0
2,21074,2.0
2,1976,1.0
2,15078,4.0
2,11904,4.0
2,508,5.0
2,3007,5.0
2,36654,2.0
2,1368,3.0
2,36830,2.0
2,318,3.0
2,16448,3.0
2,16813,2.0
2,9537,4.0
2,36596,1.0
2,147914,3.0
2,13954,1.0
3,223694,2.0
4,29089,5.0
4,47159,3.0
5,7527,4.0
5,16821,3.0
5,123753,3.0
6,34292,4.0
7,6544,3.0
7,968,5.0
7,15510,3.0
7,236432,2.0
7,13497,5.0
7,2535,5.0
7,44965,5.0
7,59126,4.0
7,1955,5.0
7,151254,5.0
7,146336,5.0
7,1770,2.0
7,193,5.0
7,239016,5.0
7,5186,5.0
7,247453,5.0
7,9668,5.0
7,1178,5.0
7,162524,5.0
7,174,4.0
7,12571,5.0
7,4386,5.0
7,1261,5.0
7,189,4.0
8,244671,5.0
8,20631,5.0
8,400,4.0
8,20631,5.0
9,106162,4.0
9,59033,5.0
9,51566,4.0
9,15336,3.0
9,808,5.0
10,213921,5.0
10,182,4.0
10,40819,4.0
10,3768,4.0
10,525,5.0
10,105,3.0
10,1342,4.0
10,1238,3.0
10,3308,4.0
10,8067,4.0
10,1794,3.0
10,4113,4.0
10,194,3.0
11,238,4.0
11,100271,3.0
11,2426,4.0
11,65313,4.0
11,1245,4.0
11,13616,4.0
11,7005,3.0
11,4431,4.0
11,156922,5.0
11,73410,3.0
11,215991,5.0
11,5840,5.0
11,28560,5.0
11,131521,4.0
11,3864,4.0
11,30075,5.0
11,55461,5.0
11,2705,2.0
11,1191,2.0
11,7572,5.0
11,181745,4.0
11,2065,4.0
11,516,5.0
11,32882,5.0
11,5189,5.0
11,2943,3.0
11,178090,5.0
11,75,3.0
11,178,5.0
11,231,5.0
11,4764,3.0
11,79507,5.0
11,111007,5.0
11,981,4.0
11,3092,4.0
11,29430,5.0
11,29085,4.0
11,234270,5.0
11,4318,5.0
11,14867,4.0
11,17142,4.0
11,247247,4.0
11,614,4.0
11,43921,5.0
11,1755,4.0
11,104781,4.0
11,232509,4.0
11,59791,3.0
11,121342,3.0
11,193141,5.0
11,188,4.0
11,51417,4.0
11,998,5.0
11,141504,1.0
11,572,5.0
11,864,5.0
11,46357,5.0
11,79513,5.0
11,18072,5.0
11,283,5.0
11,1559,3.0
11,172561,2.0
11,31363,5.0
11,524,5.0
11,42609,5.0
11,7951,3.0
11,540,4.0
11,2535,4.0
11,27167,3.0
11,22401,3.0
11,5219,3.0
11,28440,4.0
11,42261,3.0
11,6057,4.0
11,63,5.0
11,16888,4.0
11,26657,3.0
11,9261,4.0
11,2013,4.0
11,22290,5.0
11,8402,4.0
11,5839,4.0
11,1070,5.0
11,31276,5.0
11,11550,5.0
11,525,4.0
11,151699,3.0
11,18222,2.0
11,30016,2.0
11,3166,5.0
11,76435,3.0
11,29853,3.0
11,28751,5.0
11,4394,2.0
11,19954,4.0
11,3165,3.0
